,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,Dynamite,BTS,1869289,https://open.spotify.com/track/0t1kP63rueHleOhQkYSXFY
2,夜に駆ける,YOASOBI,1862246,https://open.spotify.com/track/3dPtXHP0oXQ4HCWHsOA9js
3,裸の心,Aimyon,1451140,https://open.spotify.com/track/4Jv7U0JJpbQnOrjtDwDZTZ
4,香水,Eito,1426368,https://open.spotify.com/track/2iOvMtA1u9s95NF6mJDOuT
5,"Make you happy",NiziU,1383687,https://open.spotify.com/track/4FrxgrNbNrdfq8093JaEJf
6,感電,"Kenshi Yonezu",1247957,https://open.spotify.com/track/1rd3RSjrOShIUG8rG9FvDI
7,"猫 〜THE FIRST TAKE ver.〜",DISH//,1212255,https://open.spotify.com/track/6F0aYmicNttntvth7FXQEx
8,"I Love...","Official HIGE DANdism",1143917,https://open.spotify.com/track/4pRqq3MwcqitKqNO8rOrOb
9,Pretender,"Official HIGE DANdism",1114066,https://open.spotify.com/track/15HNdxGKNCIO9pgaY4n7FU
10,115万キロのフィルム,"Official HIGE DANdism",1107254,https://open.spotify.com/track/278JqkBGkjDovOYAwE8TW7
11,白日,"King Gnu",1000641,https://open.spotify.com/track/4wel6DQu0dMVBRVn2ZTPoy
12,Laughter,"Official HIGE DANdism",993100,https://open.spotify.com/track/1SdwlHsv8bWHbAlIw5Jfgo
13,"snow jam",Rin音,979173,https://open.spotify.com/track/6uUtmCz8XXep7n1QmC1jJG
14,"Walking with you",Novelbright,952639,https://open.spotify.com/track/7tGDXCPLpAScEwmqab9YZd
15,キンモクセイ,オレンジスパイニクラブ,945833,https://open.spotify.com/track/4KyCrwLEWoGHJwobxc55oe
16,群青,YOASOBI,937535,https://open.spotify.com/track/0T4AitQuq8IJhWBWuZwkFA
17,春を告げる,yama,933687,https://open.spotify.com/track/2Gmyw5Vg2X5YW2lM3OC7nD
18,Neko,DISH//,870684,https://open.spotify.com/track/3NP2nqAgMELIV3MAhrFNMx
19,ハルジオン,YOASOBI,856947,https://open.spotify.com/track/7HneEBTvTra2CRYsxgMOAi
20,Shukumei,"Official HIGE DANdism",850755,https://open.spotify.com/track/0XaHPBAzPAC5ubwcRBqc1p
21,点描の唄,"Mrs. GREEN APPLE",824725,https://open.spotify.com/track/1sIIlVrnPhrvmTrHtzM7tV
22,"Lovesick Girls",BLACKPINK,824577,https://open.spotify.com/track/4Ws314Ylb27BVsvlZOy30C
23,不可幸力,Vaundy,822783,https://open.spotify.com/track/65e5PmFI3cqoLEJYF3TfCG
24,"Stay Gold",BTS,819553,https://open.spotify.com/track/3Ys2PYl1wyPKQIwyqhP9cQ
25,Machigaisagashi,"Masaki Suda",815621,https://open.spotify.com/track/4Jj31lihp5Nvdi4lFRjrqc
26,マリーゴールド,Aimyon,811432,https://open.spotify.com/track/2cKiHG16JBiqHdi7Llq0r7
27,ただ君に晴れ,ヨルシカ,809184,https://open.spotify.com/track/3wJHCry960drNlAUGrJLmz
28,Lemon,"Kenshi Yonezu",777912,https://open.spotify.com/track/4rvtqOGyTPZJwWtVTNdZbu
29,Yesterday,"Official HIGE DANdism",777331,https://open.spotify.com/track/1kMlcLyljkrShV0LSdSGBz
30,"Ice Cream (with Selena Gomez)",BLACKPINK,769852,https://open.spotify.com/track/4JUPEh2DVSXFGExu4Uxevz
31,Gurenge,LiSA,758208,https://open.spotify.com/track/23DbzwNJSLo7nkSWjODMvY
32,Myra,"Tani Yuuki",748647,https://open.spotify.com/track/5wc4f6crkCzAvwNhoEeMhh
33,ハルノヒ,Aimyon,746124,https://open.spotify.com/track/1oNeSCt0CMekCyyLo06kFs
34,青と夏,"Mrs. GREEN APPLE",743398,https://open.spotify.com/track/5BC6kr6etk2Y9J62AyI4i3
35,ノーダウト,"Official HIGE DANdism",738237,https://open.spotify.com/track/5DMEvbg3gUmiR5HIBWdveV
36,僕のこと,"Mrs. GREEN APPLE",733571,https://open.spotify.com/track/0tnhoHUrHfcLi9hPknUFZ4
37,花に亡霊,ヨルシカ,731531,https://open.spotify.com/track/3FUqp10RhCmMjyyB9extmo
38,ぎゅっと。,もさを。,709265,https://open.spotify.com/track/6nqfKM9JvQIiuAuzWZFvGW
39,たぶん,YOASOBI,704911,https://open.spotify.com/track/62Lv9WcrfzJqhvYDbilJy3
