2020/10/25 04:52:18 [error] 6#6: *1 connect() failed (111: Connection refused) while connecting to upstream, client: 192.168.32.1, server: , request: "GET / HTTP/1.1", upstream: "http://192.168.32.7:8000/", host: "localhost:1337"
2020/10/25 04:52:55 [error] 6#6: *1 open() "/usr/src/app/static/rest_framework/css/bootstrap.min.css" failed (2: No such file or directory), client: 192.168.32.1, server: , request: "GET /static/rest_framework/css/bootstrap.min.css HTTP/1.1", host: "localhost:1337", referrer: "http://localhost:1337/api/index/"
2020/10/25 04:52:55 [error] 6#6: *3 open() "/usr/src/app/static/rest_framework/css/bootstrap-tweaks.css" failed (2: No such file or directory), client: 192.168.32.1, server: , request: "GET /static/rest_framework/css/bootstrap-tweaks.css HTTP/1.1", host: "localhost:1337", referrer: "http://localhost:1337/api/index/"
2020/10/25 04:52:55 [error] 6#6: *11 open() "/usr/src/app/static/rest_framework/css/default.css" failed (2: No such file or directory), client: 192.168.32.1, server: , request: "GET /static/rest_framework/css/default.css HTTP/1.1", host: "localhost:1337", referrer: "http://localhost:1337/api/index/"
2020/10/25 04:52:55 [error] 6#6: *10 open() "/usr/src/app/static/rest_framework/css/prettify.css" failed (2: No such file or directory), client: 192.168.32.1, server: , request: "GET /static/rest_framework/css/prettify.css HTTP/1.1", host: "localhost:1337", referrer: "http://localhost:1337/api/index/"
2020/10/25 04:52:55 [error] 6#6: *12 open() "/usr/src/app/static/rest_framework/js/jquery-3.5.1.min.js" failed (2: No such file or directory), client: 192.168.32.1, server: , request: "GET /static/rest_framework/js/jquery-3.5.1.min.js HTTP/1.1", host: "localhost:1337", referrer: "http://localhost:1337/api/index/"
2020/10/25 04:52:55 [error] 6#6: *13 open() "/usr/src/app/static/rest_framework/js/ajax-form.js" failed (2: No such file or directory), client: 192.168.32.1, server: , request: "GET /static/rest_framework/js/ajax-form.js HTTP/1.1", host: "localhost:1337", referrer: "http://localhost:1337/api/index/"
2020/10/25 04:52:55 [error] 6#6: *1 open() "/usr/src/app/static/rest_framework/js/csrf.js" failed (2: No such file or directory), client: 192.168.32.1, server: , request: "GET /static/rest_framework/js/csrf.js HTTP/1.1", host: "localhost:1337", referrer: "http://localhost:1337/api/index/"
2020/10/25 04:52:55 [error] 6#6: *3 open() "/usr/src/app/static/rest_framework/js/bootstrap.min.js" failed (2: No such file or directory), client: 192.168.32.1, server: , request: "GET /static/rest_framework/js/bootstrap.min.js HTTP/1.1", host: "localhost:1337", referrer: "http://localhost:1337/api/index/"
2020/10/25 04:52:55 [error] 6#6: *11 open() "/usr/src/app/static/rest_framework/js/prettify-min.js" failed (2: No such file or directory), client: 192.168.32.1, server: , request: "GET /static/rest_framework/js/prettify-min.js HTTP/1.1", host: "localhost:1337", referrer: "http://localhost:1337/api/index/"
2020/10/25 04:52:55 [error] 6#6: *10 open() "/usr/src/app/static/rest_framework/js/default.js" failed (2: No such file or directory), client: 192.168.32.1, server: , request: "GET /static/rest_framework/js/default.js HTTP/1.1", host: "localhost:1337", referrer: "http://localhost:1337/api/index/"
2020/10/25 04:52:55 [error] 6#6: *10 open() "/usr/src/app/static/rest_framework/js/jquery-3.5.1.min.js" failed (2: No such file or directory), client: 192.168.32.1, server: , request: "GET /static/rest_framework/js/jquery-3.5.1.min.js HTTP/1.1", host: "localhost:1337", referrer: "http://localhost:1337/api/index/"
2020/10/25 04:52:55 [error] 6#6: *10 open() "/usr/src/app/static/rest_framework/js/ajax-form.js" failed (2: No such file or directory), client: 192.168.32.1, server: , request: "GET /static/rest_framework/js/ajax-form.js HTTP/1.1", host: "localhost:1337", referrer: "http://localhost:1337/api/index/"
2020/10/25 04:52:55 [error] 6#6: *10 open() "/usr/src/app/static/rest_framework/js/csrf.js" failed (2: No such file or directory), client: 192.168.32.1, server: , request: "GET /static/rest_framework/js/csrf.js HTTP/1.1", host: "localhost:1337", referrer: "http://localhost:1337/api/index/"
2020/10/25 04:52:55 [error] 6#6: *10 open() "/usr/src/app/static/rest_framework/js/bootstrap.min.js" failed (2: No such file or directory), client: 192.168.32.1, server: , request: "GET /static/rest_framework/js/bootstrap.min.js HTTP/1.1", host: "localhost:1337", referrer: "http://localhost:1337/api/index/"
